"s","t","mu_weighted","mu_unweighted","simultaneous_lower","simultaneous_upper","simultaneous_excludes_zero"
59,65.5,0.0120577554420166,0.0184485206457225,-0.00816539071251516,0.0322809015965485,0
59.25,65.5,0.0128141637061349,0.020195295757453,-0.00883676069640204,0.0344650881086719,0
59.5,65.5,0.013427331265802,0.0216111044610652,-0.00941366059180736,0.0362683231234115,0
59.75,65.5,0.0139097138189314,0.0227249234414805,-0.00990432861173198,0.0377237562495948,0
60,65.5,0.0142760766362876,0.0235709672356049,-0.010319542745369,0.0388716960179443,0
60.25,65.5,0.0144332965007875,0.023938825409539,-0.0105899061716976,0.0394564991732726,0
60.5,65.5,0.0145027046634934,0.0241041557753188,-0.0108059890925387,0.0398113984195254,0
60.75,65.5,0.014500063657684,0.0241033940352257,-0.0109802322377634,0.0399803595531313,0
61,65.5,0.0144412177386717,0.0239731640716946,-0.0111249010815127,0.0400073365588561,0
61.25,65.5,0.0141770238250835,0.023365168485815,-0.0110871877227619,0.039441235372929,0
61.5,65.5,0.0138826743611579,0.0226876660089839,-0.01103145451542,0.0387968032377358,0
61.75,65.5,0.0135678688284066,0.0219630234445694,-0.0109642264224175,0.0380999640792306,0
62,65.5,0.0132423067083414,0.0212136075959401,-0.0108919655077403,0.037376578924423,0
52,65.75,-0.01468189516872,-0.0409812230768765,-0.0391713159239164,0.00980752558647638,0
52.25,65.75,-0.0148485746594845,-0.041384159234931,-0.039495204662706,0.00979805534373692,0
52.5,65.75,-0.015005521255108,-0.0417654973324383,-0.0397992849018967,0.00978824239168074,0
52.75,65.75,-0.0151452549883582,-0.0421085057213454,-0.0400661039556281,0.00977559397891173,0
53,65.75,-0.0152602958920027,-0.0423964527535989,-0.0402781176731095,0.00975752588910419,0
53.25,65.75,-0.015195928599049,-0.0423152190400053,-0.040035634344653,0.00964377714655499,0
